event,CH G-Band,CI,CIII,CIV,EAProcess,ElasticProcess,H-alpha,H-beta,H-delta,H-gamma,Ion1Process,Ion2Process,Ion3Process,Ion4Process,Ion5Process,Ion6Process,Ion7Process,J3Process,J4Process,Ly-alpha,Ly-beta,Ly-gamma,ND1Process,ND2Process,ND3Process,Nu1Process,Nu2Process,Nu3Process,Nu4Process,Transportation,
1,22,0,1,1,31,116357,13,0,1,2,2374,1911,269,82,25,23,152,4911,5696,27,3,3,1631,979,42,1310,1773,2356,1918,147,
2,19,2,1,0,31,122092,13,5,1,2,2366,1830,248,96,29,22,182,5188,6159,21,6,1,1638,1063,52,1345,1867,2409,2024,143,
3,24,0,0,0,39,122882,20,4,0,1,2413,1854,250,85,14,10,172,5151,5895,17,7,3,1644,1051,41,1309,1863,2406,2073,153,
4,26,0,0,2,29,119921,12,4,1,1,2415,1871,234,94,31,13,157,5071,5956,23,3,3,1630,1048,41,1237,1846,2501,1996,151,
5,29,5,1,1,34,116726,13,5,1,1,2373,1895,250,102,19,13,162,4954,5745,13,6,1,1686,1001,36,1267,1837,2271,1979,153,
6,22,2,0,0,25,116682,9,4,0,3,2396,1880,266,92,18,11,153,4864,5784,14,6,4,1659,1059,37,1214,1797,2337,1937,129,
7,21,3,1,2,26,122536,10,3,1,1,2409,1846,264,79,26,10,172,5184,6066,16,8,0,1617,1037,53,1343,1816,2485,2016,133,
8,15,0,0,0,30,119502,16,0,0,1,2379,1862,240,105,27,15,164,5036,5818,13,7,2,1671,1095,39,1258,1832,2363,2005,109,
9,21,1,0,1,30,120044,13,2,1,3,2379,1845,290,101,22,11,152,5137,6025,22,7,1,1737,997,34,1284,1798,2335,1982,145,
10,23,0,2,0,23,125779,8,5,1,0,2388,1805,285,91,22,11,162,5386,6201,22,7,4,1709,1049,55,1332,1940,2499,2087,145,
11,21,1,0,1,29,120649,15,4,1,2,2383,1843,237,102,28,12,179,5077,6105,24,5,3,1662,1048,47,1274,1868,2444,1981,155,
12,28,0,2,1,18,119144,17,3,1,1,2342,1905,252,98,21,15,161,5076,6044,17,6,1,1672,1027,58,1271,1910,2389,1957,155,
